time,open,high,low,close,Volume
2022-03-23 13:30:00+00:00,14531.5,14546.5,14460.75,14492.5,155402
2022-03-23 14:00:00+00:00,14491.5,14595.5,14463.75,14575.5,126839
2022-03-23 14:30:00+00:00,14575.5,14608.25,14527.75,14588.5,95924
2022-03-23 15:00:00+00:00,14589.25,14641.0,14577.75,14627.5,74087
2022-03-23 15:30:00+00:00,14628.0,14654.0,14611.25,14652.5,54086
2022-03-23 16:00:00+00:00,14653.0,14682.75,14582.0,14626.25,70663
2022-03-23 16:30:00+00:00,14626.0,14640.5,14563.25,14599.5,55120
2022-03-23 17:00:00+00:00,14599.5,14607.75,14494.0,14502.0,55503
2022-03-23 17:30:00+00:00,14501.5,14539.75,14491.5,14531.5,49810
2022-03-23 18:00:00+00:00,14532.0,14534.25,14467.25,14519.0,47519
2022-03-23 18:30:00+00:00,14518.25,14553.75,14488.25,14501.0,45954
2022-03-23 19:00:00+00:00,14501.25,14527.0,14463.5,14501.0,44859
2022-03-23 19:30:00+00:00,14501.0,14530.75,14441.5,14444.25,63266
2022-03-23 20:00:00+00:00,14443.75,14459.5,14442.0,14457.25,8770
2022-03-24 13:30:00+00:00,14523.25,14551.5,14469.0,14481.25,151003
2022-03-24 14:00:00+00:00,14481.25,14555.75,14445.0,14452.5,119440
2022-03-24 14:30:00+00:00,14452.5,14546.5,14433.25,14521.75,94491
2022-03-24 15:00:00+00:00,14521.5,14630.25,14509.75,14625.25,82091
2022-03-24 15:30:00+00:00,14625.75,14664.0,14619.5,14635.25,56771
2022-03-24 16:00:00+00:00,14634.25,14640.5,14592.25,14603.75,52081
2022-03-24 16:30:00+00:00,14604.25,14635.0,14583.0,14632.25,39351
2022-03-24 17:00:00+00:00,14632.0,14666.5,14613.0,14648.0,43923
2022-03-24 17:30:00+00:00,14647.5,14664.5,14627.5,14655.5,29680
2022-03-24 18:00:00+00:00,14655.5,14687.5,14631.25,14656.25,42812
2022-03-24 18:30:00+00:00,14656.25,14676.0,14635.5,14669.75,36113
2022-03-24 19:00:00+00:00,14669.5,14737.5,14648.75,14725.5,47203
2022-03-24 19:30:00+00:00,14725.5,14768.25,14696.75,14766.75,49873
2022-03-24 20:00:00+00:00,14766.25,14768.5,14754.75,14757.75,9769
2022-03-25 13:30:00+00:00,14763.0,14788.5,14708.0,14721.0,125838
2022-03-25 14:00:00+00:00,14721.25,14775.75,14694.5,14743.75,95206
2022-03-25 14:30:00+00:00,14744.0,14807.5,14726.0,14746.5,82782
2022-03-25 15:00:00+00:00,14747.25,14758.0,14572.5,14598.0,107186
2022-03-25 15:30:00+00:00,14598.0,14637.5,14582.5,14604.5,71135
2022-03-25 16:00:00+00:00,14604.5,14661.75,14582.75,14653.5,62275
2022-03-25 16:30:00+00:00,14652.75,14668.0,14611.75,14644.5,56047
2022-03-25 17:00:00+00:00,14644.25,14690.0,14620.25,14652.25,51125
2022-03-25 17:30:00+00:00,14652.75,14717.25,14650.0,14715.5,39616
2022-03-25 18:00:00+00:00,14715.75,14738.5,14703.25,14725.75,40604
2022-03-25 18:30:00+00:00,14725.75,14748.75,14715.5,14738.75,34974
2022-03-25 19:00:00+00:00,14738.5,14745.0,14642.5,14646.0,55136
2022-03-25 19:30:00+00:00,14646.0,14759.25,14627.0,14755.25,63359
2022-03-25 20:00:00+00:00,14755.25,14757.75,14743.25,14748.0,9046
2022-03-28 13:30:00+00:00,14753.5,14912.25,14750.0,14888.0,141827
2022-03-28 14:00:00+00:00,14887.25,14890.5,14779.0,14827.5,101648
2022-03-28 14:30:00+00:00,14828.0,14881.75,14792.75,14875.0,73226
2022-03-28 15:00:00+00:00,14874.5,14885.25,14799.75,14828.5,77950
2022-03-28 15:30:00+00:00,14828.75,14831.25,14718.0,14734.25,68067
2022-03-28 16:00:00+00:00,14735.0,14771.0,14701.0,14731.0,52750
2022-03-28 16:30:00+00:00,14731.25,14792.5,14724.75,14784.75,39599
2022-03-28 17:00:00+00:00,14785.5,14847.25,14781.5,14838.0,37241
2022-03-28 17:30:00+00:00,14837.75,14852.25,14826.0,14844.25,31087
2022-03-28 18:00:00+00:00,14844.75,14873.0,14829.0,14867.5,35753
2022-03-28 18:30:00+00:00,14867.0,14939.75,14856.0,14938.75,39803
2022-03-28 19:00:00+00:00,14939.0,14953.0,14918.5,14946.5,32886
2022-03-28 19:30:00+00:00,14946.5,14988.0,14926.5,14987.0,50043
2022-03-28 20:00:00+00:00,14987.0,14996.5,14979.25,14984.5,9603
2022-03-29 13:30:00+00:00,15148.0,15219.5,15105.5,15151.0,142197
2022-03-29 14:00:00+00:00,15152.25,15182.5,15033.0,15097.5,120185
2022-03-29 14:30:00+00:00,15097.25,15138.0,15034.0,15128.5,88575
2022-03-29 15:00:00+00:00,15128.75,15152.75,15085.0,15142.5,67982
2022-03-29 15:30:00+00:00,15142.75,15171.75,15129.5,15148.5,44274
2022-03-29 16:00:00+00:00,15148.75,15156.5,15112.0,15123.0,44722
2022-03-29 16:30:00+00:00,15123.0,15140.0,15079.75,15125.0,49486
2022-03-29 17:00:00+00:00,15124.5,15128.25,15090.0,15117.75,35609
2022-03-29 17:30:00+00:00,15118.0,15190.5,15106.25,15187.0,41861
2022-03-29 18:00:00+00:00,15186.5,15194.5,15157.25,15185.0,33288
2022-03-29 18:30:00+00:00,15185.5,15229.5,15177.25,15221.25,37230
2022-03-29 19:00:00+00:00,15221.0,15258.5,15207.5,15257.0,41199
2022-03-29 19:30:00+00:00,15256.75,15269.0,15202.5,15240.75,55134
2022-03-29 20:00:00+00:00,15241.5,15247.75,15218.0,15221.25,9496
2022-03-30 13:30:00+00:00,15165.75,15209.0,15141.5,15187.5,114391
2022-03-30 14:00:00+00:00,15187.25,15229.5,15151.25,15213.5,92511
2022-03-30 14:30:00+00:00,15213.5,15235.0,15154.0,15157.25,71214
2022-03-30 15:00:00+00:00,15157.5,15162.75,15097.0,15117.5,75916
2022-03-30 15:30:00+00:00,15117.75,15159.0,15110.75,15154.25,47840
2022-03-30 16:00:00+00:00,15154.5,15174.5,15128.25,15158.0,42983
2022-03-30 16:30:00+00:00,15158.0,15196.75,15146.5,15192.5,30763
2022-03-30 17:00:00+00:00,15192.5,15195.25,15148.0,15158.0,38100
2022-03-30 17:30:00+00:00,15158.0,15172.5,15122.25,15127.5,39176
2022-03-30 18:00:00+00:00,15127.5,15154.75,15093.25,15104.75,41363
2022-03-30 18:30:00+00:00,15104.25,15132.75,15075.0,15081.5,42962
2022-03-30 19:00:00+00:00,15081.75,15085.25,15012.0,15036.0,55176
2022-03-30 19:30:00+00:00,15035.25,15081.0,15019.0,15080.0,72977
2022-03-30 20:00:00+00:00,15080.75,15108.75,15079.5,15104.5,12057
2022-03-31 13:30:00+00:00,15080.25,15090.0,14980.0,15026.75,127598
2022-03-31 14:00:00+00:00,15026.25,15049.0,14966.0,15018.0,110056
2022-03-31 14:30:00+00:00,15018.25,15095.75,15013.25,15076.75,79842
2022-03-31 15:00:00+00:00,15076.5,15081.0,15023.5,15033.75,61802
2022-03-31 15:30:00+00:00,15033.25,15074.0,15025.75,15046.5,51213
2022-03-31 16:00:00+00:00,15046.75,15053.5,14989.25,15001.5,41526
2022-03-31 16:30:00+00:00,15001.75,15012.0,14975.0,14980.75,36959
2022-03-31 17:00:00+00:00,14980.75,15011.0,14968.0,15008.25,36726
2022-03-31 17:30:00+00:00,15008.5,15031.5,14987.5,15001.5,33133
2022-03-31 18:00:00+00:00,15001.5,15004.5,14960.25,14992.75,41121
2022-03-31 18:30:00+00:00,14992.25,15028.25,14979.0,15026.75,38862
2022-03-31 19:00:00+00:00,15026.25,15065.0,14973.5,14988.75,57443
2022-03-31 19:30:00+00:00,14988.75,14994.0,14855.5,14870.5,99070
2022-03-31 20:00:00+00:00,14871.0,14923.25,14870.75,14917.75,23067
2022-04-01 13:30:00+00:00,14899.0,14932.0,14808.25,14841.0,131439
2022-04-01 14:00:00+00:00,14839.0,14886.0,14806.0,14841.25,104217
2022-04-01 14:30:00+00:00,14841.25,14898.75,14825.0,14890.5,84980
2022-04-01 15:00:00+00:00,14889.75,14895.75,14823.75,14829.25,66619
2022-04-01 15:30:00+00:00,14829.25,14834.0,14754.5,14764.5,65951
2022-04-01 16:00:00+00:00,14764.75,14786.5,14740.25,14782.0,47840
2022-04-01 16:30:00+00:00,14781.5,14782.25,14732.75,14745.0,43605
2022-04-01 17:00:00+00:00,14744.75,14764.5,14725.5,14740.25,41229
2022-04-01 17:30:00+00:00,14741.0,14788.75,14735.5,14765.5,39938
2022-04-01 18:00:00+00:00,14765.25,14824.5,14753.25,14821.25,49099
2022-04-01 18:30:00+00:00,14821.25,14856.5,14807.25,14814.5,45359
2022-04-01 19:00:00+00:00,14814.5,14843.75,14757.0,14778.0,51555
2022-04-01 19:30:00+00:00,14778.0,14870.75,14747.75,14861.0,72915
2022-04-01 20:00:00+00:00,14860.75,14863.25,14829.0,14831.0,11123
2022-04-04 13:30:00+00:00,14895.75,15051.5,14884.0,15047.75,129131
2022-04-04 14:00:00+00:00,15047.75,15068.5,15007.75,15046.0,84374
2022-04-04 14:30:00+00:00,15046.0,15075.5,15024.0,15061.0,55845
2022-04-04 15:00:00+00:00,15061.25,15103.75,15057.0,15098.5,43262
2022-04-04 15:30:00+00:00,15098.5,15121.5,15081.0,15108.75,34422
2022-04-04 16:00:00+00:00,15109.0,15121.75,15098.75,15119.5,23043
2022-04-04 16:30:00+00:00,15120.0,15131.0,15095.5,15098.25,25612
2022-04-04 17:00:00+00:00,15098.0,15110.0,15085.5,15104.75,20693
2022-04-04 17:30:00+00:00,15104.25,15123.75,15094.25,15119.25,17795
2022-04-04 18:00:00+00:00,15119.25,15120.25,15067.75,15112.5,30933
